"Year","Quarter","Location Description","Data Source","Topic Description","Measure Description","Provision Group Description","Provision","Value","Citation","Enacted Date","Effective Date","Comments"
"2019","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2019","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2019","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2019","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2019","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2019","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2018","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2018","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2018","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2018","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2018","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2018","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2018","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2018","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2017","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2017","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2017","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2017","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2017","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2017","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2017","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2017","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2016","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2016","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2016","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2016","3","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2016","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2016","2","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2016","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
"2016","1","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Vending Machines","No Provision","","","",""
"2015","4","Alaska","OSH","Legislation - Preemption","Preemption on Licensure ","Restrictions","Over-the-Counter","No Provision","","","",""
